"American College of Traditional Chinese Medicine","455 Arkansas St San Francisco California 94107","94107","@actcm.edu",37.7671,-122.3955
"Siena College","515 Loudon Rd Loudonville New York 12211-1462","12211","@siena.edu",42.6809,-73.7506
"Montana State University-Billings","1500 University Drive Billings Montana 59101-0298","59101","@msubillings.edu",45.7705,-108.495
"Berklee College of Music","1140 Boylston St Boston Massachusetts 02215","02215","@berklee.edu",42.3465,-71.1026
"Norwich University","158 Harmon Drive Northfield Vermont 05663-1035","05663","@norwich.edu",44.1384,-72.6597
"Franciscan University of Steubenville","1235 University Blvd Steubenville Ohio 43952-1763","43952","@franciscan.edu",40.3747,-80.6243
"Hood Theological Seminary","1810 Lutheran Synod Drive Salisbury North Carolina 28144","28144","@hoodseminary.edu  ",35.6827,-80.4695
"Conception Seminary College","37174 State Hwy V V Conception Missouri 64433-0502","64433","@conception.edu",40.2435,-94.6721
"University of La Verne","1950 Third St La Verne California 91750-4401","91750","@laverne.edu",34.1014,-117.773
"Marymount University","2807 N Glebe Rd Arlington Virginia 22207-4299","22207","@marymount.edu",38.9051,-77.1291
"The Curtis Institute of Music","1726 Locust St Philadelphia Pennsylvania 19103","19103","@curtis.edu",39.9528,-75.1737
"Missouri Baptist University","One College Park Dr Saint Louis Missouri 63141-8698","63141","@mobap.edu",38.6465,-90.4614
"Saint Thomas University","16401 NW 37th Ave Miami Gardens Florida 33054-6459","33054","@stthomas.edu",25.9233,-80.2527
"San Francisco State University","1600 Holloway Ave San Francisco California 94132","94132","@sfsu.edu",37.7228,-122.4789
"Argosy University-Inland Empire","636 East Brier Dr Suite 120 San Bernardino California 92408","92408","@argosyu.edu",34.0804,-117.2724
"Turtle Mountain Community College","BIA #7 North Belcourt North Dakota 58316","58316","@tm.edu",48.819,-99.7701
"Philander Smith College","One Trudie Kibbe Reed Drive Little Rock Arkansas 72202-3799","72202","@philander.edu",34.7418,-92.2759
"Sarah Lawrence College","One Meadway Bronxville New York 10708","10708","@slc.edu",40.9385,-73.8318
"Keuka College","141 Central Avenue Keuka Park New York 14478","14478","@mail.keuka.edu",42.589,-77.1162
"Brown Mackie College-South Bend","1030 E Jefferson Blvd South Bend Indiana 46617","46617","@brownmackie.edu",41.686,-86.2368
"Northwood University-Florida Education Center","2600 N Military Trail West Palm Beach Florida 33409-2911","33409","@northwood.edu",26.7163,-80.1105
"Ottawa University-Phoenix","10020 North 25th Avenue Phoenix Arizona 85021","85021","@ottawa.edu",33.559,-112.0932
"University of Wisconsin-Stout","Menomonie Wisconsin 54751","54751","@uwstout.edu",44.8721,-91.9222
"John Wesley College","2314 N Centennial St High Point North Carolina 27265-3197","27265","@johnwesley.edu",35.9944,-79.9997
"West Virginia University at Parkersburg","300 Campus Drive Parkersburg West Virginia 26104","26104","@mail.wvup",39.2819,-81.5036
"Judson University","1151 N State St Elgin Illinois 60123-1498","60123","@judsonu.edu",42.0608,-88.2928
"Kaplan University-Omaha Campus","5417 N. 103rd St. Omaha Nebraska 68134-1002","68134","@kaplan.edu",41.308,-96.0742
"Vaughn College of Aeronautics and Technology","86-01 23rd Avenue Flushing New York 11369","11369","@vaughn.edu",40.764,-73.872
"Hebrew Union College-Jewish Institute of Religion","3077 University Ave Los Angeles California 90007-3796","90007","@huc.edu",34.0269,-118.2817
"Our Lady of the Lake University-San Antonio","411 SW 24th St San Antonio Texas 78207-4689","78207","@lake.ollusa",29.4263,-98.5431
"Augustana College","639 38th St Rock Island Illinois 61201-2296","61201","@augie.edu",41.5052,-90.5474
